State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Churn_binary,Total_charge,Avg_Day_Call_Duration,Avg_Eve_Call_Duration,Avg_Night_Call_Duration,Avg_Intl_Call_Duration,Cust_Serv_Call_Rate,TotalServices,EngagementScore,CS_Calls_x_DayCharge,IntlPlan_x_IntlMins,IsNewCustomer,IsPremium,Total_Minutes,Day_Min_Per_Call,Intl_Plan_Bin,Critical_Intl_Interaction,Log_Total_Minutes,Account_Length_Sq
NM,117,415,No,No,0,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1,False,0,53.76,1.3912621359223303,1.9564814814814815,1.9291666666666665,3.8333333333333335,0.008547008547008548,1,117,24.36,0.0,0,0,551.3,1.3912620008483494,0,0,6.314091376907141,13689
WV,114,510,No,Yes,30,206.2,79,35.05,260.0,91,22.1,291.6,83,13.12,11.4,6,3.08,1,False,0,73.35,2.6101265822784807,2.857142857142857,3.513253012048193,1.9000000000000001,0.008771929824561403,2,228,35.05,0.0,0,0,769.1999999999999,2.6101262518827526,0,0,6.646650221380808,12996
RI,114,510,No,Yes,28,225.8,94,38.39,193.0,117,16.41,232.4,100,10.46,8.4,9,2.27,4,False,0,67.52999999999999,2.402127659574468,1.6495726495726495,2.324,0.9333333333333333,0.03508771929824561,2,228,153.56,0.0,0,1,659.6,2.4021274040289997,0,0,6.493148512956689,12996
NH,119,408,No,No,0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65,3,False,0,53.53,1.553932584269663,2.1858974358974357,2.6928571428571426,2.25,0.025210084033613446,1,119,70.53,0.0,0,0,586.2,1.5539324096705158,0,0,6.375365477300306,14161
MA,118,408,Yes,No,0,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,False,0,53.1,1.3008130081300813,1.8270833333333334,1.8666666666666667,3.3000000000000003,0.01694915254237288,2,236,54.4,9.9,0,0,530.1,1.3008129023729347,1,2,6.274950327428353,13924
PA,101,415,No,No,0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,False,0,69.42999999999999,1.9676190476190476,1.9222222222222223,2.499,4.866666666666666,0.0,1,101,0.0,0.0,0,0,696.0,1.967618860226775,0,0,6.546785410760524,10201
OK,117,415,No,No,0,134.7,121,22.9,180.0,83,15.3,200.9,104,9.04,7.7,3,2.08,1,False,0,49.32,1.1132231404958677,2.1686746987951806,1.9317307692307693,2.566666666666667,0.008547008547008548,1,117,22.9,0.0,0,0,523.3000000000001,1.113223048493963,0,0,6.262064039578488,13689
AL,49,415,No,Yes,28,214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,8.0,13,2.16,3,False,0,67.88,2.7487179487179487,2.352,1.9271028037383175,0.6153846153846154,0.061224489795918366,2,98,109.35000000000001,0.0,0,0,663.8,2.7487175963182566,0,0,6.499486243541238,2401
WY,139,415,No,No,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13.0,3,3.51,3,False,0,65.35000000000001,1.853846153846154,2.441666666666667,2.011881188118812,4.333333333333333,0.02158273381294964,1,139,98.34,0.0,0,0,643.4000000000001,1.8538459755917331,0,0,6.46831965130282,19321
PA,92,408,No,Yes,28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10.0,3,2.7,1,False,0,55.71,1.6788888888888889,2.465822784810127,2.0982456140350876,3.3333333333333335,0.010869565217391304,2,184,25.69,0.0,0,0,595.0999999999999,1.6788887023456995,0,0,6.39040843822588,8464
HI,148,510,Yes,No,0,218.9,88,37.21,208.0,85,17.68,203.3,99,9.15,11.1,4,3.0,0,False,0,67.04,2.4875000000000003,2.447058823529412,2.0535353535353535,2.775,0.0,2,296,0.0,11.1,0,1,641.3000000000001,2.4874997173295776,1,0,6.465055484263747,21904
AL,131,415,No,Yes,25,192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,2,False,0,66.33999999999999,2.267058823529412,2.1514285714285717,4.308474576271187,1.8166666666666667,0.015267175572519083,2,262,65.52,0.0,0,0,683.6999999999999,2.2670585568166404,0,0,6.5289807861270175,17161
VT,146,510,Yes,No,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,False,0,66.23,1.5140740740740741,2.4344444444444444,1.9535087719298245,1.75,0.02054794520547945,2,292,104.25,10.5,0,0,656.7,1.5140739619204473,1,3,6.488748900307305,21316
AK,48,415,No,Yes,37,211.7,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,1,False,0,59.35,1.8408695652173912,1.9035714285714287,1.80125,12.2,0.020833333333333332,2,96,35.99,0.0,0,0,527.9000000000001,1.8408694051417906,0,0,6.270799378071934,2304
MI,86,415,No,Yes,28,221.6,74,37.67,288.4,100,24.51,240.3,105,10.81,9.0,2,2.43,1,False,0,75.42000000000002,2.9945945945945946,2.884,2.2885714285714287,4.5,0.011627906976744186,2,172,37.67,0.0,0,1,759.3,2.9945941899197037,0,0,6.633713092234391,7396
DE,71,415,No,No,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,False,0,63.540000000000006,1.8324074074074075,1.665137614678899,5.0249999999999995,1.34,0.04225352112676056,1,71,100.92,0.0,0,0,667.5,1.8324072377400706,0,0,6.505036396541998,5041
MI,137,510,No,No,0,206.4,122,35.09,128.0,102,10.88,194.5,84,8.75,8.8,5,2.38,2,False,0,57.10000000000001,1.6918032786885246,1.2549019607843137,2.3154761904761907,1.7600000000000002,0.014598540145985401,1,137,70.18,0.0,0,0,537.6999999999999,1.691803140016136,0,0,6.289158829686488,18769
KS,137,408,No,No,0,205.9,88,35.0,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2,False,0,69.76,2.3397727272727273,2.433720930232558,3.451190476190476,3.625,0.014598540145985401,1,137,70.0,0.0,0,0,719.6,2.339772461389493,0,0,6.580084198313993,18769
AL,167,510,No,No,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,False,0,61.83,2.359090909090909,2.1015873015873017,2.604081632653061,2.82,0.0,1,167,0.0,0.0,0,0,609.3000000000001,2.359090641012427,0,0,6.41395063955045,27889
NE,132,510,No,No,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,False,0,36.14,0.9045454545454545,1.61375,1.0088709677419354,3.233333333333333,0.0,1,132,0.0,0.0,0,0,363.4,0.9045453723140571,0,0,5.898252165385803,17424
WI,94,510,No,No,0,177.1,112,30.11,194.0,112,16.49,146.7,108,6.6,5.9,4,1.59,1,False,0,54.79,1.58125,1.7321428571428572,1.3583333333333332,1.475,0.010638297872340425,1,94,30.11,0.0,0,0,523.6999999999999,1.5812498588169768,0,0,6.262826670692666,8836
WI,96,510,No,Yes,18,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1,False,0,55.03,2.0081395348837208,1.1805309734513274,3.7071428571428573,3.266666666666667,0.010416666666666666,2,192,29.36,0.0,0,0,575.4,2.008139301379151,0,0,6.356801864125367,9216
IN,166,510,No,No,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,False,0,62.33,1.7756521739130433,1.1835526315789473,1.9889908256880735,1.9,0.006024096385542169,1,166,34.71,0.0,0,0,610.4000000000001,1.77565201950852,0,0,6.4157514094567345,27556
DC,74,415,No,No,0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,False,0,44.76,1.0325301204819277,3.6970149253731344,1.6752941176470588,2.02,0.02702702702702703,1,74,29.14,0.0,0,0,485.9,1.0325299960807233,0,0,6.188058763188655,5476
AR,36,415,No,No,0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0,False,0,56.49,1.3470085470085469,3.177586206896552,2.4282828282828284,11.9,0.0,1,36,0.0,0.0,0,0,594.1999999999999,1.3470084318796212,0,0,6.388897483518882,1296
ME,113,415,No,No,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,False,0,66.33000000000001,1.6705426356589148,1.869230769230769,2.2758241758241757,0.7333333333333333,0.035398230088495575,1,113,146.56,0.0,0,0,647.9,1.6705425061594956,0,0,6.4752786216271225,12769
MD,67,415,No,No,0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2,False,0,50.57,2.1462499999999998,1.362962962962963,1.7603603603603604,2.975,0.029850746268656716,1,67,58.38,0.0,0,0,489.4,2.1462497317187834,0,0,6.195221384622002,4489
IA,158,415,No,No,0,158.0,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1,False,0,65.03,1.490566037735849,2.5657894736842106,2.708988764044944,2.275,0.006329113924050633,1,158,26.86,0.0,0,0,700.7,1.4905658971164248,0,0,6.553505962258243,24964
AZ,136,510,No,No,0,92.0,117,15.64,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78,1,False,0,49.61000000000001,0.7863247863247863,3.2935064935064933,2.3788888888888886,1.03,0.007352941176470588,1,136,15.64,0.0,0,0,570.0,0.7863247191175453,0,0,6.3473892096560105,18496
MO,196,415,No,No,0,234.0,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,False,0,71.24,2.146788990825688,2.18859649122807,2.472857142857143,1.8199999999999998,0.01020408163265306,1,196,79.56,0.0,0,1,665.7,2.1467887938725876,0,0,6.502340169624015,38416
VT,113,415,No,No,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,True,1,81.0,2.4513513513513514,2.2754237288135593,2.0361904761904763,0.85,0.008849557522123894,1,113,46.26,0.0,0,1,762.9000000000001,2.4513511305089075,0,0,6.638436890547315,12769
RI,112,510,No,No,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0,False,0,60.559999999999995,1.924752475247525,2.3207317073170732,1.7140186915887852,5.7,0.0,1,112,0.0,0.0,0,0,579.5,1.9247522846779916,0,0,6.3638898011379466,12544
SD,209,415,No,No,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,False,0,71.24000000000001,1.775,2.808695652173913,2.47972972972973,2.225,0.014354066985645933,1,209,115.85999999999999,0.0,0,1,677.9999999999999,1.7749998613281357,0,0,6.520621127558696,43681
MN,62,415,No,No,0,248.7,109,42.28,220.0,118,18.7,265.7,78,11.96,13.2,2,3.56,1,True,1,76.5,2.281651376146789,1.8644067796610169,3.4064102564102563,6.6,0.016129032258064516,1,62,42.28,0.0,0,1,747.6,2.2816511668209936,0,0,6.618204795470328,3844
TX,110,415,No,Yes,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,False,0,67.7,2.316666666666667,1.749107142857143,2.2378048780487805,1.6166666666666665,0.00909090909090909,2,220,40.17,0.0,0,1,625.4000000000001,2.316666439542506,0,0,6.439989144676593,12100
VA,16,510,No,No,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,False,0,62.199999999999996,2.979710144927536,1.8225806451612903,3.4390625,3.6333333333333333,0.0,1,16,0.0,0.0,0,0,606.1,2.9797097130855486,0,0,6.408693522136389,256
MA,73,408,No,No,0,94.1,136,16.0,280.3,122,23.83,205.0,77,9.23,9.8,4,2.65,0,False,0,51.71,0.6919117647058823,2.2975409836065577,2.6623376623376624,2.45,0.0,1,73,0.0,0.0,0,0,589.1999999999999,0.691911713830021,0,0,6.380461462508839,5329
ID,128,408,No,No,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,False,0,55.29,1.2646464646464646,1.9196261682242992,2.291891891891892,9.45,0.0,1,128,0.0,0.0,0,0,603.9,1.2646463369044103,0,0,6.4050631551128685,16384
MA,39,408,No,No,0,60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,1,False,0,45.23,0.3822784810126582,2.5516666666666667,2.6934782608695653,4.133333333333334,0.02564102564102564,1,39,10.27,0.0,0,0,502.9,0.3822784568178192,0,0,6.222377835686553,1521
GA,103,415,No,Yes,28,121.0,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,False,0,52.849999999999994,1.1523809523809523,2.7039999999999997,2.111842105263158,1.925,0.019417475728155338,2,206,41.14,0.0,0,0,559.6,1.1523808426303959,0,0,6.329007638730688,10609
RI,119,415,No,Yes,29,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,3,False,0,50.55,1.784848484848485,2.2526315789473683,1.9421052631578946,2.533333333333333,0.025210084033613446,2,238,60.09,0.0,0,0,529.8000000000001,1.784848214416937,0,0,6.274385302458053,14161
ID,173,510,No,Yes,21,232.4,96,39.51,211.9,118,18.01,273.0,102,12.29,5.0,5,1.35,3,False,0,71.16,2.4208333333333334,1.7957627118644068,2.676470588235294,1.0,0.017341040462427744,2,346,118.53,0.0,0,1,722.3,2.4208330811632206,0,0,6.583824073855235,29929
SD,128,510,Yes,Yes,32,223.5,81,38.0,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2,True,1,63.559999999999995,2.759259259259259,2.5513513513513515,1.5336633663366337,4.7,0.015625,3,384,76.0,9.4,0,1,576.6,2.75925891861001,1,2,6.358881587578616,16384
MA,86,510,No,No,0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,0,False,0,66.60000000000001,2.2316455696202535,2.672164948453608,3.6846153846153844,2.066666666666667,0.0,1,86,0.0,0.0,0,0,729.1,2.231645287133508,0,0,6.59318151106204,7396
WY,114,415,No,Yes,32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,False,0,50.33,1.5848101265822785,1.6933333333333334,2.6112359550561797,4.3,0.008771929824561403,2,228,21.28,0.0,0,0,548.3,1.584809925973427,0,0,6.308644740348575,12996
VA,104,408,No,No,0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10.0,3,2.7,0,False,0,58.690000000000005,1.2962616822429907,2.2734513274336283,3.174324324324324,3.3333333333333335,0.0,1,104,0.0,0.0,0,0,640.5,1.2962615610970503,0,0,6.463809184055691,10816
OR,148,415,No,No,0,86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05,1,False,0,50.0,0.6440298507462686,2.6804347826086956,2.764835164835165,2.825,0.006756756756756757,1,148,14.67,0.0,0,0,595.8,0.6440298026843431,0,0,6.391582048889551,21904
VA,129,408,No,No,0,207.0,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,False,0,63.01,2.2747252747252746,1.2801652892561983,2.188392857142857,2.68,0.023255813953488372,1,129,105.57,0.0,0,0,620.4,2.2747250247554915,0,0,6.431974996958947,16641
ME,100,510,No,Yes,30,58.8,104,10.0,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,0,False,0,37.43,0.5653846153846154,2.0514018691588785,1.290677966101695,2.3666666666666667,0.0,2,200,0.0,0.0,0,0,437.70000000000005,0.5653845610207152,0,0,6.083815808172169,10000
GA,143,408,No,Yes,33,239.2,109,40.66,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57,1,False,0,70.27999999999999,2.1944954128440366,2.1026785714285716,1.645263157894737,2.375,0.006993006993006993,2,286,40.66,0.0,0,1,640.5,2.1944952115142007,0,0,6.463809184055691,20449
IA,76,510,No,No,0,198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0,False,0,64.02,1.5253846153846156,2.5244186046511627,1.9625000000000001,4.166666666666667,0.0,1,76,0.0,0.0,0,0,616.3,1.5253844980473463,0,0,6.4253551293998505,5776
AZ,158,510,No,No,0,205.2,97,34.88,240.6,77,20.45,79.7,108,3.59,14.4,12,3.89,0,False,0,62.81,2.1154639175257732,3.1246753246753247,0.737962962962963,1.2,0.0,1,158,0.0,0.0,0,0,539.9,2.1154636994367317,0,0,6.293234418877382,24964
FL,116,510,No,No,0,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,3,False,0,67.25,1.960204081632653,2.3177777777777777,1.3851063829787233,3.95,0.02586206896551724,1,116,97.97999999999999,0.0,0,0,643.1,1.9602038816118488,0,0,6.467853993552845,13456
MT,54,415,No,No,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,True,1,78.92999999999999,3.2843373493975907,3.360810810810811,1.7783783783783784,4.75,0.018518518518518517,1,54,46.34,0.0,0,1,728.1999999999999,3.284336953694343,0,0,6.591948042804508,2916
AL,86,415,No,No,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,True,1,48.080000000000005,1.0603305785123969,2.1193548387096772,0.9105263157894737,2.44,0.08139534883720931,1,86,152.67,0.0,0,0,475.99999999999994,1.0603304908817777,0,0,6.1675164908883415,7396
DE,108,510,No,No,0,169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51,0,False,0,63.07,1.713131313131313,3.0356321839080462,2.644871794871795,2.325,0.0,1,108,0.0,0.0,0,0,649.3,1.7131311400877636,0,0,6.477433794875106,11664
MT,66,510,No,No,0,201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,7.5,4,2.03,1,False,0,59.730000000000004,2.1189473684210527,2.3151515151515154,2.3089108910891087,1.875,0.015151515151515152,1,66,34.22,0.0,0,0,594.8,2.1189471453739848,0,0,6.3899050402791815,4356
KY,151,408,No,Yes,17,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,1,False,0,58.199999999999996,2.21340206185567,1.538888888888889,3.8431818181818183,2.15,0.006622516556291391,2,302,36.5,0.0,0,0,530.9,2.2134018336699137,0,0,6.276455501748272,22801
SC,99,510,No,No,0,169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,0,False,0,62.36,2.417142857142857,3.5259740259740258,1.6365384615384615,5.3,0.0,1,99,0.0,0.0,0,0,621.5,2.4171425118367837,0,0,6.4337436283388625,9801
WA,55,415,No,No,0,194.1,121,33.0,176.6,110,15.01,302.8,136,13.63,7.0,7,1.89,2,False,0,63.53,1.6041322314049586,1.6054545454545455,2.226470588235294,1.0,0.03636363636363636,1,55,66.0,0.0,0,0,680.5,1.6041320988320578,0,0,6.524296251136588,3025
AK,78,408,No,No,0,225.1,67,38.27,199.2,127,16.93,175.5,102,7.9,14.6,2,3.94,0,False,0,67.04,3.3597014925373134,1.568503937007874,1.7205882352941178,7.3,0.0,1,78,0.0,0.0,0,1,614.4,3.359700991089404,0,0,6.422272462887942,6084
GA,89,415,No,No,0,213.0,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1,True,1,65.5,3.380952380952381,2.4873239436619716,2.0841269841269843,9.1,0.011235955056179775,1,89,36.21,0.0,0,0,661.3000000000001,3.380951844293358,0,0,6.495718625490934,7921
MN,101,415,No,No,0,183.9,115,31.26,255.9,101,21.75,275.0,145,12.38,10.8,11,2.92,1,False,0,68.31,1.5991304347826087,2.5336633663366337,1.896551724137931,0.9818181818181819,0.009900990099009901,1,101,31.26,0.0,0,0,725.5999999999999,1.5991302957278004,0,0,6.588376119787101,10201
IL,44,415,No,Yes,34,221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14.0,7,3.78,0,False,0,65.48,2.1123809523809527,1.9023529411764704,3.67258064516129,2.0,0.0,2,88,0.0,0.0,0,1,625.2,2.112380751201833,0,0,6.4396698088923054,1936
IN,98,408,No,Yes,21,64.6,98,10.98,176.1,86,14.97,244.8,84,11.02,0.0,0,0.0,2,False,0,36.97,0.6591836734693877,2.047674418604651,2.9142857142857146,0.0,0.02040816326530612,2,196,21.96,0.0,0,0,485.5,0.6591836062057543,0,0,6.1872369016260595,9604
SC,64,510,No,Yes,37,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,False,0,44.43000000000001,1.6804347826086956,0.8097087378640777,1.6757575757575758,4.433333333333334,0.015625,2,128,26.28,0.0,0,0,417.2,1.6804345999527608,0,0,6.035959786994534,4096
VA,141,415,No,No,0,260.2,131,44.23,179.2,120,15.23,135.0,119,6.08,7.2,8,1.94,3,False,0,67.47999999999999,1.9862595419847326,1.4933333333333332,1.134453781512605,0.9,0.02127659574468085,1,141,132.69,0.0,0,1,581.6,1.9862593903618784,0,0,6.367500844525334,19881
WI,81,415,No,Yes,33,161.6,117,27.47,123.0,90,10.46,261.3,101,11.76,12.2,5,3.29,1,False,0,52.98,1.3811965811965812,1.3666666666666667,2.587128712871287,2.44,0.012345679012345678,2,162,27.47,0.0,0,0,558.1000000000001,1.3811964631456013,0,0,6.3263283480326,6561
VT,162,510,No,No,0,220.6,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,1,False,0,61.92999999999999,1.8854700854700854,1.2826446280991735,2.097752808988764,0.9545454545454546,0.006172839506172839,1,162,37.5,0.0,0,1,573.0,1.8854699243188098,0,0,6.352629396319567,26244
AZ,83,415,No,Yes,41,155.9,122,26.5,162.3,107,13.8,127.6,105,5.74,13.1,5,3.54,3,False,0,49.58,1.2778688524590165,1.5168224299065423,1.2152380952380952,2.62,0.03614457831325301,2,166,79.5,0.0,0,0,458.9000000000001,1.2778687477156765,0,0,6.1310090745458785,6889
FL,100,510,No,No,0,107.0,63,18.19,105.7,67,8.98,243.1,74,10.94,12.8,3,3.46,4,True,1,41.57,1.6984126984126984,1.5776119402985076,3.285135135135135,4.266666666666667,0.04,1,100,72.76,0.0,0,0,468.59999999999997,1.698412428823424,0,0,6.151881268513887,10000
AK,59,510,No,No,0,182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,4,False,0,61.83,1.7548076923076923,2.154736842105263,2.299,1.4125,0.06779661016949153,1,59,124.12,0.0,0,0,628.4,1.7548075235761995,0,0,6.444766984630307,3481
AR,179,415,Yes,Yes,38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,10.1,4,2.73,4,False,0,70.75000000000001,2.8217948717948715,3.3000000000000003,2.791764705882353,2.525,0.0223463687150838,3,537,149.68,10.1,0,1,701.8000000000001,2.821794510026345,1,4,6.555072356312942,32041
AR,79,408,No,No,0,152.2,112,25.87,177.2,132,15.06,96.4,87,4.34,5.3,3,1.43,1,False,0,46.699999999999996,1.3589285714285713,1.3424242424242423,1.1080459770114943,1.7666666666666666,0.012658227848101266,1,79,25.87,0.0,0,0,431.09999999999997,1.358928450095674,0,0,6.068657042937887,6241
AK,117,415,No,No,0,181.5,95,30.86,205.1,88,17.43,204.0,82,9.18,14.7,9,3.97,2,False,0,61.44,1.9105263157894736,2.330681818181818,2.4878048780487805,1.6333333333333333,0.017094017094017096,1,117,61.72,0.0,0,0,605.3000000000001,1.9105261146814616,0,0,6.407374913077685,13689
ME,31,415,No,No,0,166.1,105,28.24,79.3,93,6.74,213.7,98,9.62,12.7,2,3.43,1,False,0,48.029999999999994,1.581904761904762,0.8526881720430107,2.1806122448979592,6.35,0.03225806451612903,1,31,28.24,0.0,0,0,471.79999999999995,1.5819046112471797,0,0,6.158672466091889,961
NM,122,408,No,Yes,23,134.2,85,22.81,227.3,132,19.32,122.4,96,5.51,8.5,2,2.3,2,False,0,49.93999999999999,1.5788235294117645,1.7219696969696972,1.2750000000000001,4.25,0.01639344262295082,2,244,45.62,0.0,0,0,492.4,1.5788233436678418,0,0,6.201320204095256,14884
NE,37,408,Yes,Yes,39,149.7,122,25.45,211.1,75,17.94,114.3,90,5.14,9.2,4,2.48,1,False,0,51.01,1.2270491803278687,2.8146666666666667,1.27,2.3,0.02702702702702703,3,111,25.45,9.2,0,0,484.29999999999995,1.2270490797500753,1,1,6.18476725641117,1369
SC,90,408,No,Yes,29,150.1,109,25.52,264.7,103,22.5,178.4,97,8.03,5.8,4,1.57,1,False,0,57.62,1.3770642201834862,2.5699029126213593,1.839175257731959,1.45,0.011111111111111112,2,180,25.52,0.0,0,0,598.9999999999999,1.3770640938473306,0,0,6.396929655216146,8100
CO,159,408,Yes,No,0,257.1,53,43.71,312.2,127,26.54,183.0,82,8.24,8.8,6,2.38,1,True,1,80.86999999999999,4.850943396226415,2.458267716535433,2.231707317073171,1.4666666666666668,0.006289308176100629,2,318,43.71,8.8,0,1,761.0999999999999,4.850942480954249,1,1,6.636077780672071,25281
OH,39,415,No,Yes,36,141.7,121,24.09,232.3,113,19.75,222.1,131,9.99,12.0,5,3.24,1,False,0,57.07000000000001,1.1710743801652892,2.0557522123893808,1.6954198473282442,2.4,0.02564102564102564,2,78,24.09,0.0,0,0,608.1,1.1710742833822905,0,0,6.411982457842439,1521
OK,194,408,No,No,0,162.3,88,27.59,213.7,118,18.16,192.1,81,8.64,10.9,2,2.94,0,False,0,57.33,1.844318181818182,1.8110169491525423,2.371604938271605,5.45,0.0,1,194,0.0,0.0,0,0,579.0,1.844317972236594,0,0,6.363028103540465,37636
CO,154,415,No,No,0,350.8,75,59.64,216.5,94,18.4,253.9,100,11.43,10.1,9,2.73,1,True,1,92.2,4.677333333333333,2.3031914893617023,2.539,1.1222222222222222,0.006493506493506494,1,154,59.64,0.0,0,1,831.3,4.677332709688972,0,0,6.724192952752049,23716
NC,112,415,No,No,0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,4,False,0,63.56,2.013541666666667,2.1471544715447157,1.1182608695652174,3.033333333333333,0.03571428571428571,1,112,131.44,0.0,0,0,595.1,2.013541456922765,0,0,6.390408438225881,12544
MD,45,415,No,No,0,78.2,127,13.29,253.4,108,21.54,255.0,100,11.48,18.0,3,4.86,1,False,0,51.17,0.615748031496063,2.3462962962962965,2.55,6.0,0.022222222222222223,1,45,13.29,0.0,0,0,604.6,0.6157479830119699,0,0,6.406219702123239,2025
KS,132,415,No,No,0,83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,1,False,0,42.57,0.7581818181818182,1.694890510948905,1.2868421052631578,1.52,0.007575757575757576,1,132,14.18,0.0,0,0,469.90000000000003,0.7581817492562046,0,0,6.154645757249509,17424
MA,128,415,No,No,0,195.6,99,33.25,267.8,120,22.76,164.9,76,7.42,16.0,2,4.32,0,False,0,67.75,1.9757575757575756,2.231666666666667,2.169736842105263,8.0,0.0,1,128,0.0,0.0,0,0,644.3,1.9757573761861236,0,0,6.469715324941794,16384
NM,56,408,No,No,0,197.0,110,33.49,222.8,102,18.94,225.3,91,10.14,10.6,6,2.86,2,False,0,65.43,1.790909090909091,2.1843137254901963,2.475824175824176,1.7666666666666666,0.03571428571428571,1,56,66.98,0.0,0,0,655.7,1.7909089280991883,0,0,6.487227293196927,3136
CA,151,415,Yes,No,0,218.0,57,37.06,114.4,88,9.72,269.2,95,12.11,12.4,1,3.35,0,True,1,62.24,3.824561403508772,1.3,2.833684210526316,12.4,0.0,2,302,0.0,12.4,0,1,613.9999999999999,3.8245607325332047,1,0,6.421622267806518,22801
NY,32,415,No,No,0,164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4.0,2,False,0,59.09,1.6816326530612247,2.394791666666667,1.5490740740740743,7.4,0.0625,1,32,56.04,0.0,0,0,576.8,1.6816324814660735,0,0,6.359227788032134,1024
AZ,90,415,No,No,0,179.2,77,30.46,210.7,99,17.91,276.9,58,12.46,9.2,6,2.48,2,False,0,63.31,2.327272727272727,2.128282828282828,4.774137931034482,1.5333333333333332,0.022222222222222223,1,90,60.92,0.0,0,0,676.0,2.327272425029555,0,0,6.517671272912275,8100
